2.6.jpg,2.7.jpg,2.8.jpg,2.10.jpg,2.2.jpg,2.3.jpg,2.5.jpg,2.4.jpg
30.362646,27.161911,25.555876,26.110563,27.708256,25.136755,42.75858,26.590261
156.3237,155.24352,160.78369,165.21909,144.03929,144.90877,152.88754,163.3614
